Date,Open,High,Low,Close,Adj Close,Volume
5/18/12,14.24,14.41,14,14.1,13.846796,7627600
5/21/12,14.1,14.43,13.95,14.38,14.121769,6686200
5/22/12,14.36,14.59,14.16,14.26,14.003922,5576400
5/23/12,14.11,14.74,14,14.69,14.426202,5179800
5/24/12,14.65,14.67,14.11,14.22,13.96464,4255600
5/25/12,14.2,14.36,14.08,14.22,13.96464,2696700
5/29/12,14.32,14.63,14.25,14.38,14.121769,3477600
5/30/12,14.22,14.27,13.97,14.15,13.895896,3935500
5/31/12,14.14,14.15,13.61,13.62,13.375414,7312600
6/1/12,13.39,13.48,13.05,13.12,12.884395,7443400
6/4/12,13.13,13.33,12.86,13.07,12.83529,3585800
6/5/12,12.99,13.36,12.96,13.14,12.904037,4150400
6/6/12,13.28,13.75,13.22,13.71,13.4638,5057300
6/7/12,13.83,13.89,13.31,13.42,13.179007,5191700
6/8/12,13.41,13.59,13.28,13.47,13.228109,3074000
6/11/12,13.54,13.59,12.79,12.82,12.589781,6167000
6/12/12,12.91,13.01,12.7,12.79,12.56032,6286100
6/13/12,12.75,12.82,12.2,12.29,12.069298,8652900
6/14/12,12.34,12.46,12.24,12.32,12.098761,5411200
6/15/12,12.31,12.49,12.22,12.44,12.216604,9771100
6/18/12,12.27,12.54,12.22,12.43,12.206786,3297900
6/19/12,12.49,12.71,12.4,12.67,12.442475,4005200
6/20/12,12.64,12.79,12.54,12.66,12.432653,3288000
6/21/12,12.66,12.68,11.98,12,11.784506,4727500
6/22/12,11.67,12.36,11.67,12.26,12.039838,14252900
6/25/12,12.01,12.19,11.79,12.12,11.902352,5123900
6/26/12,12.09,12.2,11.93,11.97,11.755048,3427000
6/27/12,12,12.18,11.88,12.11,11.892532,3131400
6/28/12,12.01,12.1,11.74,11.89,11.676481,2644100
6/29/12,12.16,12.37,11.93,12.35,12.128222,6509300
7/2/12,12.36,12.38,12.05,12.28,12.059477,3262900
7/3/12,12.26,12.6,12.26,12.59,12.363912,1484500
7/5/12,12.54,12.6,12.37,12.39,12.167504,2069500
7/6/12,12.27,12.34,11.84,12.02,11.804148,2495400
7/9/12,12.02,12.08,11.69,11.94,11.725584,3667200
7/10/12,12.03,12.14,11.5,11.59,11.38187,2989400
7/11/12,11.62,11.75,11.52,11.68,11.470252,2752900
7/12/12,11.72,11.9,11.36,11.59,11.38187,4703100
7/13/12,11.62,11.76,11.6,11.71,11.499714,2580100
7/16/12,11.67,11.69,11.49,11.53,11.322947,3752400
7/17/12,11.59,11.62,11.28,11.36,11.155999,3137500
7/18/12,11.34,11.61,11.31,11.5,11.293486,6397700
7/19/12,11.55,12.39,11.53,12.27,12.049659,6431100
7/20/12,12.22,12.23,11.93,11.98,11.764867,4306500
7/23/12,11.72,11.96,11.6,11.82,11.607738,4127000
7/24/12,11.78,11.96,11.46,11.54,11.332768,3014000
7/25/12,11.52,11.58,11.29,11.51,11.303308,3414200
7/26/12,11.6,11.76,10.86,10.95,10.753361,10637800
7/27/12,11.04,11.48,10.93,11.41,11.205102,11198500
7/30/12,11.29,11.4,11.11,11.23,11.028334,5408700
7/31/12,11.1,11.33,10.77,11.02,10.822105,8568100
8/1/12,11.5,11.88,10.81,11.68,11.470252,15327900
8/2/12,11.4,11.75,11.27,11.37,11.165819,7875400
8/3/12,11.54,12.06,11.51,11.97,11.755048,7498600
8/6/12,12.02,12.29,12.01,12.2,11.980913,4564800
8/7/12,12.24,12.87,12.24,12.79,12.56032,9081700
8/8/12,12.72,12.96,12.69,12.94,12.707625,7959700
8/9/12,12.91,13.16,12.86,13.12,12.884395,7442900
8/10/12,13.11,13.13,12.95,13.08,12.845113,3851800
8/13/12,13.11,13.12,12.74,12.87,12.638885,4047600
8/14/12,13.02,13.06,12.65,12.71,12.481756,3288400
8/15/12,12.71,13.15,12.63,13.09,12.854932,4252400
8/16/12,14.31,14.39,13.62,13.81,13.562003,19948300
8/17/12,13.95,14,13.69,13.77,13.522722,5952500
8/20/12,13.69,13.73,13.3,13.56,13.316493,4627700
8/21/12,13.62,13.65,13.37,13.56,13.316493,5335200
8/22/12,13.48,13.73,13.39,13.44,13.198647,4132300
8/23/12,13.37,13.39,13.08,13.25,13.012058,4642000
8/24/12,13.25,13.44,13.12,13.33,13.090624,3884300
8/27/12,13.33,13.35,12.9,12.93,12.697805,4121900
8/28/12,13.02,13.09,12.79,12.83,12.599603,4088500
8/29/12,12.9,13.01,12.64,12.85,12.619243,2781200
8/30/12,12.8,13.12,12.7,13,12.766549,4421600
8/31/12,12.72,13.53,12.57,13.33,13.090624,8415800
9/4/12,13.22,13.29,12.72,13.03,12.796011,5392400
9/5/12,12.91,13.2,12.87,13.14,12.904037,3669800
9/6/12,13.33,13.94,13.23,13.63,13.385235,8820900
9/7/12,13.65,14.05,13.54,14.04,13.787873,6337700
9/10/12,13.96,14.02,13.7,13.84,13.591466,5765900
9/11/12,13.75,13.91,13.75,13.81,13.562003,6299100
9/12/12,13.91,14.18,13.74,13.99,13.738771,9692400
9/13/12,13.99,14.33,13.87,14.24,13.984282,5249000
9/14/12,14.21,14.64,14.21,14.5,14.239612,8743000
9/17/12,14.5,14.51,14.07,14.21,13.954821,3596200
9/18/12,14.26,14.26,13.88,14,13.74859,3780200
9/19/12,14.1,14.1,13.86,13.93,13.679848,3838300
9/20/12,13.89,13.96,13.35,13.48,13.237929,7350300
9/21/12,13.59,13.68,13.1,13.24,13.002237,6691300
9/24/12,13.11,13.36,13.01,13.31,13.070982,7611200
9/25/12,13.34,13.4,12.67,12.68,12.452295,6871900
9/26/12,12.42,12.85,12.13,12.6,12.373733,7146100
9/27/12,12.67,12.93,12.67,12.78,12.550501,6531900
9/28/12,12.69,12.72,12.45,12.69,12.462115,4994400
10/1/12,12.73,12.86,12.33,12.35,12.128222,4965100
10/2/12,12.41,12.69,12.35,12.65,12.422833,4877600
10/3/12,12.7,12.89,12.61,12.85,12.619243,5394000
10/4/12,12.81,13.05,12.66,13.03,12.796011,5454600
10/5/12,13.05,13.17,12.86,12.95,12.717447,4357300
10/8/12,12.86,13.07,12.85,12.98,12.746907,3074300
