Date,Open,High,Low,Close,Adj Close,Volume
2012-05-18,2.820000,2.880000,2.820000,2.850000,2.136606,32186000
2012-05-21,2.870000,3.030000,2.870000,3.020000,2.264053,33964600
2012-05-22,2.910000,2.930000,2.870000,2.880000,2.159097,39937200
2012-05-23,2.800000,2.810000,2.680000,2.730000,2.046644,54749300
2012-05-24,2.740000,2.750000,2.700000,2.740000,2.054141,28075700
2012-05-25,2.720000,2.840000,2.710000,2.820000,2.114115,26219500
2012-05-29,2.900000,2.950000,2.880000,2.950000,2.211575,32235200
2012-05-30,2.800000,2.810000,2.730000,2.740000,2.054141,33849300
2012-05-31,2.690000,2.710000,2.630000,2.670000,2.001663,27557300
2012-06-01,2.650000,2.680000,2.610000,2.640000,1.979172,19564100
2012-06-04,2.670000,2.690000,2.610000,2.610000,1.956681,17364900
2012-06-05,2.650000,2.760000,2.640000,2.760000,2.069134,34496900
2012-06-06,2.810000,2.880000,2.800000,2.880000,2.159097,32174900
2012-06-07,2.880000,2.900000,2.820000,2.830000,2.121613,24032300
2012-06-08,2.960000,3.030000,2.860000,3.020000,2.264053,76742100
2012-06-11,2.950000,2.960000,2.760000,2.770000,2.076631,43843400
2012-06-12,2.830000,2.880000,2.800000,2.870000,2.151600,18380500
2012-06-13,2.790000,2.840000,2.780000,2.790000,2.091625,18353600
2012-06-14,2.440000,2.510000,2.300000,2.350000,1.761763,107309500
2012-06-15,2.370000,2.490000,2.360000,2.480000,1.859222,47419100
2012-06-18,2.480000,2.550000,2.460000,2.510000,1.881713,26266400
2012-06-19,2.520000,2.580000,2.500000,2.540000,1.904203,27646600
2012-06-20,2.510000,2.530000,2.460000,2.500000,1.874216,37757700
2012-06-21,2.490000,2.490000,2.360000,2.380000,1.784254,24765400
2012-06-22,2.410000,2.430000,2.370000,2.380000,1.784254,18710600
2012-06-25,2.240000,2.250000,2.140000,2.190000,1.641813,46734300
2012-06-26,2.110000,2.200000,2.090000,2.160000,1.619323,41402800
2012-06-27,2.210000,2.230000,2.140000,2.190000,1.641813,26419900
2012-06-28,2.140000,2.160000,2.080000,2.110000,1.581838,34083900
2012-06-29,2.190000,2.200000,2.040000,2.070000,1.551851,68689800
2012-07-02,2.110000,2.140000,2.080000,2.140000,1.604329,17660400
2012-07-03,2.110000,2.140000,2.100000,2.130000,1.596832,10320700
2012-07-05,2.040000,2.050000,2.000000,2.020000,1.514367,36552700
2012-07-06,1.960000,1.970000,1.920000,1.920000,1.439398,36046100
2012-07-09,1.870000,1.900000,1.830000,1.840000,1.379423,34546700
2012-07-10,1.820000,1.830000,1.770000,1.800000,1.349436,39153500
2012-07-11,1.840000,1.940000,1.830000,1.900000,1.424404,48743900
2012-07-12,1.930000,1.940000,1.870000,1.880000,1.409410,29599400
2012-07-13,1.860000,1.910000,1.820000,1.840000,1.379423,20665000
2012-07-16,1.840000,1.880000,1.800000,1.800000,1.349436,38347900
2012-07-17,1.800000,1.800000,1.690000,1.690000,1.266970,66647800
2012-07-18,1.660000,1.730000,1.630000,1.730000,1.296957,51607100
2012-07-19,1.950000,1.960000,1.770000,1.850000,1.386920,101267800
2012-07-20,1.730000,1.760000,1.670000,1.710000,1.281964,49446300
2012-07-23,1.670000,1.830000,1.670000,1.830000,1.371926,32430700
2012-07-24,1.780000,1.820000,1.750000,1.760000,1.319448,29231900
2012-07-25,1.820000,1.860000,1.800000,1.840000,1.379423,23672000
2012-07-26,1.950000,2.020000,1.910000,2.020000,1.514367,45943500
2012-07-27,2.070000,2.160000,2.070000,2.110000,1.581838,56225300
2012-07-30,2.160000,2.200000,2.100000,2.170000,1.626820,36486800
2012-07-31,2.290000,2.410000,2.240000,2.410000,1.806744,88326400
2012-08-01,2.430000,2.720000,2.320000,2.380000,1.784254,164822900
2012-08-02,2.350000,2.370000,2.170000,2.270000,1.701788,64136300
2012-08-03,2.320000,2.410000,2.290000,2.370000,1.776757,35844600
2012-08-06,2.470000,2.540000,2.420000,2.510000,1.881713,31034900
2012-08-07,2.680000,2.690000,2.580000,2.650000,1.986669,53883900
2012-08-08,2.550000,2.690000,2.510000,2.670000,2.001663,39243500
2012-08-09,2.770000,2.930000,2.730000,2.930000,2.196581,56183100
2012-08-10,2.800000,2.850000,2.700000,2.760000,2.069134,49622900
2012-08-13,2.770000,2.800000,2.580000,2.610000,1.956681,42513700
2012-08-14,2.500000,2.510000,2.410000,2.490000,1.866719,51174600
2012-08-15,2.520000,2.640000,2.510000,2.640000,1.979172,42692700
2012-08-16,2.660000,2.730000,2.580000,2.640000,1.979172,32315400
2012-08-17,2.760000,2.790000,2.710000,2.740000,2.054141,28725100
2012-08-20,2.740000,2.810000,2.700000,2.750000,2.061638,19560000
2012-08-21,2.780000,2.850000,2.730000,2.760000,2.069134,23772900
2012-08-22,2.880000,2.890000,2.810000,2.880000,2.159097,35493400
2012-08-23,2.950000,3.210000,2.920000,3.200000,2.398997,102944400
2012-08-24,3.080000,3.210000,3.060000,3.080000,2.309034,56949900
2012-08-27,3.310000,3.390000,3.250000,3.250000,2.436481,83242200
2012-08-28,3.200000,3.210000,3.000000,3.030000,2.271550,68326200
2012-08-29,2.930000,2.960000,2.780000,2.900000,2.174090,91130800
2012-08-30,2.930000,2.940000,2.730000,2.750000,2.061638,69091800
2012-08-31,2.820000,2.860000,2.750000,2.820000,2.114115,43245600
2012-09-04,2.900000,2.950000,2.820000,2.830000,2.121613,68465600
2012-09-05,2.890000,2.900000,2.360000,2.380000,1.784254,211194300
2012-09-06,2.390000,2.510000,2.270000,2.460000,1.844228,121457200
2012-09-07,2.520000,2.650000,2.480000,2.640000,1.979172,90506000
2012-09-10,2.650000,2.680000,2.590000,2.630000,1.971676,36463400
2012-09-11,2.790000,2.810000,2.740000,2.790000,2.091625,42621300
2012-09-12,2.940000,2.980000,2.710000,2.750000,2.061638,140961600
2012-09-13,2.800000,2.970000,2.780000,2.940000,2.204078,61149300
2012-09-14,3.010000,3.140000,2.900000,2.980000,2.234066,100446300
2012-09-17,3.050000,3.090000,2.910000,2.970000,2.226569,48404700
2012-09-18,2.870000,2.950000,2.830000,2.900000,2.174090,47398300
2012-09-19,2.870000,2.900000,2.830000,2.890000,2.166594,27038500
2012-09-20,2.830000,2.870000,2.810000,2.850000,2.136606,28255300
2012-09-21,2.790000,2.820000,2.670000,2.770000,2.076631,53553200
2012-09-24,2.700000,2.770000,2.670000,2.740000,2.054141,23505800
2012-09-25,2.770000,2.780000,2.680000,2.700000,2.024153,30358000
2012-09-26,2.640000,2.650000,2.530000,2.590000,1.941688,50607100
2012-09-27,2.650000,2.690000,2.600000,2.670000,2.001663,29255000
