Date,Open,High,Low,Close,Adj Close,Volume
2012-05-18,3.170000,3.185000,3.005000,3.020000,2.770383,56728800
2012-05-21,3.025000,3.087500,3.005000,3.072500,2.818543,41626000
2012-05-22,3.070000,3.075000,2.990000,3.035000,2.784142,41014000
2012-05-23,3.002500,3.115000,2.957500,3.110000,2.852943,49600000
2012-05-24,3.127500,3.132500,3.005000,3.027500,2.777262,52042000
2012-05-25,3.025000,3.125000,3.025000,3.100000,2.843770,39175200
2012-05-29,3.150000,3.200000,3.137500,3.180000,2.917158,31000000
2012-05-30,3.145000,3.167500,3.087500,3.142500,2.882757,37979200
2012-05-31,3.142500,3.155000,3.067500,3.107500,2.850650,35819200
2012-06-01,3.042500,3.072500,2.990000,2.995000,2.747450,44098400
2012-06-04,3.010000,3.027500,2.907500,2.932500,2.690115,43285600
2012-06-05,2.917500,3.025000,2.917500,3.017500,2.768089,36522400
2012-06-06,3.040000,3.105000,3.017500,3.097500,2.841477,36896800
2012-06-07,3.142500,3.160000,2.970000,2.972500,2.726809,52678000
2012-06-08,2.982500,3.040000,2.977500,3.030000,2.779556,37030800
2012-06-11,3.127500,3.182500,3.057500,3.065000,2.811663,83908000
2012-06-12,3.100000,3.157500,3.095000,3.127500,2.868998,49612800
2012-06-13,3.125000,3.132500,3.030000,3.045000,2.793317,49427600
2012-06-14,3.040000,3.065000,2.977500,3.007500,2.758915,58988400
2012-06-15,3.030000,3.075000,3.002500,3.072500,2.818543,38528800
2012-06-18,3.050000,3.125000,3.025000,3.100000,2.843770,30442400
2012-06-19,3.227500,3.357500,3.212500,3.310000,3.036413,96047600
2012-06-20,3.342500,3.425000,3.322500,3.362500,3.084573,97272000
2012-06-21,3.360000,3.360000,3.202500,3.210000,2.944678,51637600
2012-06-22,3.250000,3.287500,3.205000,3.250000,2.981373,86536000
2012-06-25,3.252500,3.262500,3.135000,3.147500,2.887344,49461600
2012-06-26,3.165000,3.205000,3.120000,3.182500,2.919450,43715200
2012-06-27,3.185000,3.307500,3.185000,3.285000,3.013479,50606400
2012-06-28,3.255000,3.330000,3.227500,3.310000,3.036413,54589600
2012-06-29,3.387500,3.462500,3.385000,3.455000,3.169428,61650800
2012-07-02,3.472500,3.475000,3.335000,3.362500,3.084573,58168400
2012-07-03,3.362500,3.457500,3.360000,3.450000,3.164841,21928400
2012-07-05,3.427500,3.442500,3.362500,3.415000,3.132734,28007600
2012-07-06,3.390000,3.400000,3.312500,3.350000,3.073107,38276000
2012-07-09,3.330000,3.345000,3.277500,3.305000,3.031826,30633600
2012-07-10,3.270000,3.367500,3.180000,3.205000,2.940091,51202800
2012-07-11,3.215000,3.255000,3.137500,3.152500,2.891931,48521600
2012-07-12,3.117500,3.122500,3.072500,3.100000,2.843770,47216000
